City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
159,constitucion,-35.3333,-72.4167,11.42,81,0,4.26,CL,1681606993
160,kautokeino,69.0125,23.0412,-2.31,95,100,5.22,NO,1681606993
161,hearst,49.6835,-83.6665,2.14,98,100,3.38,CA,1681606994
162,naryan-mar,67.6713,53.087,-3.21,96,100,3.81,RU,1681606995
163,pitsunda,43.1592,40.3378,9.1,69,6,2.98,GE,1681606996
164,quelimane,-17.8786,36.8883,24.24,70,97,2.17,MZ,1681606996
165,inirida,3.8653,-67.9239,24.56,86,100,1.07,CO,1681606844
166,strezhevoy,60.7333,77.5889,-18.07,88,64,4.94,RU,1681606998
167,pemangkat,1.1667,108.9667,27.12,77,86,1.56,ID,1681606998
168,moerai,-22.4333,-151.3333,24.98,76,100,8.85,PF,1681606999
169,athabasca,54.7169,-113.2854,13.23,41,100,3.87,CA,1681606826
170,bethel,41.3712,-73.414,17.58,89,100,1.54,US,1681606709
171,iralaya,15.0,-83.2333,26.26,75,0,5.08,HN,1681607002
172,kavaratti,10.5669,72.642,28.54,75,50,2.07,IN,1681607003
173,zeya,53.75,127.2667,3.04,71,96,3.58,RU,1681607004
174,nelson bay,-32.7167,152.15,22.22,53,100,3.96,AU,1681607005
175,aksarka,66.5606,67.7975,-20.9,92,19,2.63,RU,1681607005
176,kindia,10.0569,-12.8658,24.68,77,9,1.45,GN,1681607006
177,kuala terengganu,5.3302,103.1408,26.97,94,20,1.03,MY,1681607007
178,kihei,20.785,-156.4656,27.01,74,40,8.75,US,1681607008
179,vrangel,42.7297,133.0839,2.67,87,100,2.49,RU,1681607009
180,saint-philippe,-21.3585,55.7679,23.77,87,30,1.68,RE,1681607009
181,choix,26.7092,-108.3219,29.81,23,0,3.27,MX,1681607011
182,velingara,13.15,-14.1167,28.96,53,3,3.34,SN,1681607012
183,hami,42.8,93.45,19.43,23,0,3.93,CN,1681607013
184,tanushimaru,33.35,130.6833,18.95,70,19,4.14,JP,1681607013
185,kavieng,-2.5744,150.7967,26.09,87,100,5.01,PG,1681607014
186,nhulunbuy,-12.2333,136.7667,30.34,70,100,3.09,AU,1681607015
187,umm bab,25.2142,50.8072,22.12,52,100,7.43,QA,1681606949
188,igaci,-9.5369,-36.6336,22.65,90,5,2.12,BR,1681607016
189,vestmannaeyjar,63.4427,-20.2734,7.31,78,100,11.19,IS,1681606996
190,sur,22.5667,59.5289,28.29,52,6,2.16,OM,1681607017
191,padang,-0.9492,100.3543,26.03,84,100,0.95,ID,1681606924
192,ilulissat,69.2167,-51.1,-4.99,100,100,2.57,GL,1681607018
193,castro,-24.7911,-50.0119,15.72,95,74,3.42,BR,1681607018
194,maciel,-32.4557,-60.8874,17.84,53,100,3.17,AR,1681607019
